samplename	orig_lines	qcfil_lines	subs_lines	clump_lines
RNA003584L1-173868704	99643044	85480608	84000000	5041692
RNA003585L1-175006862	128070596	110287492	84000000	6571864
RNA003586L1-176206034	123688056	107480668	84000000	6574560
RNA003587L1-173872707	122224860	108790988	84000000	4134824
RNA003588L1-175021864	134879592	116024696	84000000	4200968
RNA003589L1-176208037	135637588	119834660	84000000	5172364
RNA003590L1-173874707	105675204	92447880	84000000	7188852
RNA003591L1-175022855	113669088	96876088	84000000	6621448
RNA003592L1-176212039	114507968	99291464	84000000	7192768
RNA003593L1-173870711	114655472	101520428	84000000	8609044
RNA003594L1-175013876	130249576	110818764	84000000	6698620
RNA003595L1-176205036	125643860	108445100	84000000	5864208
RNA003596L1-173861708	112920784	99568000	84000000	12750112
RNA003597L1-175017864	136913120	119637788	84000000	17801720
RNA003598L1-176199027	120154108	106137496	84000000	14185856
RNA003599L1-173857701	117524148	102836544	84000000	2159328
RNA003600L1-175009870	138466576	118960300	84000000	2891304
RNA003601L1-176194024	130631296	114354240	84000000	2885916
RNA003602L1-173868700	111632124	98358604	84000000	4094180
RNA003603L1-175008880	137868392	120117228	84000000	5328752
RNA003604L1-176196030	130142212	114083232	84000000	4111400
RNA003605L1-173872705	126200652	104884144	84000000	1772360
RNA003606L1-175006867	145634340	124478168	84000000	2466544
RNA003607L1-176214040	132286360	116045524	84000000	2543436
RNA003608L1-173858699	106188976	95054204	84000000	4781864
RNA003609L1-175025858	130500168	114764076	84000000	4456664
RNA003610L1-176214042	142699324	123209992	84000000	2963160
RNA003611L1-173859699	121111340	106950840	84000000	2667708
RNA003612L1-175006869	128464444	110300124	84000000	2403620
RNA003613L1-176211036	121770636	104366900	84000000	2104596
RNA003614L1-173875704	217265512	187569740	84000000	6994224
RNA003615L1-175007882	119888500	99680756	84000000	6656360
RNA003616L1-176209040	115582316	97539620	84000000	8132596
RNA003617L1-173875703	110239588	94454108	84000000	4560704
RNA003618L1-175021879	151819612	130682004	84000000	4562792
RNA003619L1-176196036	125328704	107021152	84000000	8194836
RNA003620L1-173860696	106704384	91237928	84000000	11913448
RNA003621L1-175016873	131757556	113376176	84000000	15767904
RNA003622L1-176206041	144415424	126638452	84000000	13568532
RNA003623L1-173866709	120742068	105950204	84000000	3738648
RNA003624L1-175015887	122338460	106342192	84000000	4118080
RNA003625L1-176199031	144799100	127390304	84000000	3931868
RNA003626L1-173877704	119985848	106325024	84000000	5368212
RNA003627L1-175016875	121525128	105769848	84000000	5119948
RNA003628L1-176214045	157003160	137288412	84000000	4847720
