samplename total pseudoaligned
RNA003584L1 1260423 976193
RNA003585L1 1642966 1262442
RNA003586L1 1643640 1257099
RNA003587L1 1033706 713527
RNA003588L1 1050242 722991
RNA003589L1 1293091 921984
RNA003590L1 1797213 1368484
RNA003591L1 1655362 1241863
RNA003592L1 1798192 1346920
RNA003593L1 2152261 1693412
RNA003594L1 1674655 1243557
RNA003595L1 1466052 1120434
RNA003596L1 3187528 2720361
RNA003597L1 4450430 3951765
RNA003598L1 3546464 3059753
RNA003599L1 539832 383905
RNA003600L1 722826 519668
RNA003601L1 721479 496613
RNA003602L1 1023545 725634
RNA003603L1 1332188 984935
RNA003604L1 1027850 725317
RNA003605L1 443090 354357
RNA003606L1 616636 509494
RNA003607L1 635859 513897
RNA003608L1 1195466 1008877
RNA003609L1 1114166 942474
RNA003610L1 740790 597039
RNA003611L1 666927 456938
RNA003612L1 600905 409422
RNA003613L1 526149 351430
RNA003614L1 1748556 1400367
RNA003615L1 1664090 1298620
RNA003616L1 2033149 1659536
RNA003617L1 1140176 535973
RNA003618L1 1140698 564730
RNA003619L1 2048709 869664
RNA003620L1 2978362 1410296
RNA003621L1 3941976 1962258
RNA003622L1 3392133 1813153
RNA003623L1 934662 622519
RNA003624L1 1029520 694559
RNA003625L1 982967 647667
RNA003626L1 1342053 1015788
RNA003627L1 1279987 976415
RNA003628L1 1211930 910719
