Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
RNA004895L1-244998835_1_qc_subs_clumped	116725.0	80521.0	36204.0	68.98350824587706	183.063
RNA004896L1-245012774_1_qc_subs_clumped	236029.0	199262.0	36767.0	84.42267687445187	155.238
RNA004897L1-245004804_1_qc_subs_clumped	213996.0	175495.0	38501.0	82.00854221574235	182.925
RNA004898L1-244997836_1_qc_subs_clumped	241457.0	195839.0	45618.0	81.10719506992965	181.606
RNA004899L1-245008798_1_qc_subs_clumped	272209.0	229100.0	43109.0	84.16327160380443	182.848
RNA004900L1-244994838_1_qc_subs_clumped	80526.0	51010.0	29516.0	63.3460000496734	192.55
RNA004901L1-244996854_1_qc_subs_clumped	101594.0	67874.0	33720.0	66.80906352737367	198.704
RNA004902L1-245002794_1_qc_subs_clumped	489106.0	411383.0	77723.0	84.10917060923398	186.821
RNA004903L1-245008799_1_qc_subs_clumped	470013.0	409370.0	60643.0	87.09759091769801	171.332
RNA004904L1-245003825_1_qc_subs_clumped	175094.0	134546.0	40548.0	76.84215335762504	174.426
RNA004905L1-244333104_1_qc_subs_clumped	2.0	2.0	0.0	100.0	0.0
RNA004905L1-245015771_1_qc_subs_clumped	692560.0	616291.0	76269.0	88.98738015478803	179.747
RNA004906L1-245013771_1_qc_subs_clumped	622506.0	498854.0	123652.0	80.13641635582628	154.174
RNA004907L1-245012777_1_qc_subs_clumped	219240.0	182873.0	36367.0	83.41224229155264	178.936
RNA004908L1-245002795_1_qc_subs_clumped	171233.0	146822.0	24411.0	85.74398626432989	191.068
RNA004909L1-245007794_1_qc_subs_clumped	70357.0	55610.0	14747.0	79.0397543954404	193.166
RNA004910L1-245001833_1_qc_subs_clumped	132145.0	103872.0	28273.0	78.6045631692459	180.767
RNA004911L1-245004807_1_qc_subs_clumped	73269.0	51167.0	22102.0	69.83444567279477	194.239
RNA004912L1-245018774_1_qc_subs_clumped	188027.0	163029.0	24998.0	86.7051008631739	188.011
RNA004913L1-245005792_1_qc_subs_clumped	76711.0	61996.0	14715.0	80.8176141622453	189.621
RNA004914L1-245016775_1_qc_subs_clumped	192022.0	166124.0	25898.0	86.51300371832394	181.051
RNA004915L1-245014772_1_qc_subs_clumped	269018.0	228909.0	40109.0	85.09058873383937	165.064
RNA004916L1-245017774_1_qc_subs_clumped	166446.0	128131.0	38315.0	76.98052221140792	189.055
RNA004917L1-245002798_1_qc_subs_clumped	127231.0	75809.0	51422.0	59.583749243501984	156.586
RNA004918L1-245015773_1_qc_subs_clumped	190630.0	161365.0	29265.0	84.648271520747	183.751
RNA004919L1-245011777_1_qc_subs_clumped	90985.0	58901.0	32084.0	64.7370445677859	180.143
RNA004920L1-245008801_1_qc_subs_clumped	91113.0	74753.0	16360.0	82.04427469186615	193.505
RNA004921L1-245004810_1_qc_subs_clumped	257461.0	169816.0	87645.0	65.9579509129538	149.072
RNA004922L1-245015774_1_qc_subs_clumped	76456.0	64145.0	12311.0	83.89792822015276	198.746
RNA004923L1-245007798_1_qc_subs_clumped	290688.0	246605.0	44083.0	84.83494330691326	159.933
RNA004924L1-245014774_1_qc_subs_clumped	171169.0	148806.0	22363.0	86.93513428249274	152.806
RNA004925L1-245009780_1_qc_subs_clumped	55517.0	44776.0	10741.0	80.65277302447899	191.879
RNA004926L1-245005793_1_qc_subs_clumped	69188.0	54729.0	14459.0	79.10186737584553	176.67
RNA004927L1-245014775_1_qc_subs_clumped	202626.0	168851.0	33775.0	83.331359253008	188.076
RNA004928L1-245016776_1_qc_subs_clumped	172028.0	130552.0	41476.0	75.88997140000465	184.493
RNA004929L1-245003831_1_qc_subs_clumped	375560.0	324362.0	51198.0	86.3675577803813	180.651
RNA004930L1-245009781_1_qc_subs_clumped	249143.0	210855.0	38288.0	84.63211890360155	168.582
