sample	orig_lines	clipped_lines	qc_lines
RNA004060L1-193593404	35500868	32564908	31514088
RNA004061L1-199162969	25534268	24065556	23578668
RNA004062L1-208988787	33478168	29318368	28660536
RNA004063L1-193596408	37053856	34462632	33346716
RNA004064L1-199154971	21218804	19878112	19438012
RNA004065L1-209000794	23296892	21189620	20713952
RNA004066L1-193594407	30811436	27834836	26852436
RNA004067L1-199154972	22587088	21415016	20926060
RNA004068L1-208989794	27738260	24613780	23991084
RNA004069L1-193594408	35076784	32269056	31272384
RNA004070L1-199150964	24963496	23809312	23347632
RNA004071L1-208997794	31078324	27684072	27066172
RNA004072L1-193604414	33968268	31526660	30548900
RNA004073L1-199159972	26077312	24787796	24295404
RNA004074L1-208996795	31011664	27532896	26894208
RNA004075L1-193601411	27044120	24539476	23828728
RNA004076L1-199162970	15449428	14247676	13978364
RNA004077L1-208994796	18101512	15973052	15618456
RNA004078L1-193597409	32606936	29736508	28834064
RNA004079L1-199160973	22515500	21285752	20896352
RNA004080L1-209002794	30019400	26401572	25831476
RNA004081L1-193592409	24126356	21061000	20530484
RNA004082L1-199166969	8959204	7539116	7373048
RNA004083L1-208992790	10540676	8969628	8773980
RNA004084L1-193596410	28811344	25408428	24679584
RNA004085L1-199161972	15915416	14118396	13837904
RNA004086L1-208996796	19381588	16819804	16423076
RNA004087L1-193606414	39579784	37051952	35883992
RNA004088L1-199150965	23402708	22403916	21927192
RNA004089L1-209003795	25747952	23903056	23431792
RNA004090L1-193592410	36216272	33520352	32370088
RNA004091L1-199166970	27641720	26430676	25896204
RNA004092L1-208997795	33300196	29852772	29148004
RNA004093L1-193601412	36952016	34367844	33345568
RNA004094L1-199164972	20831504	19804544	19406220
RNA004095L1-208993792	22401576	20538320	20129224
RNA004096L1-193598407	37540428	34045680	32918192
RNA004097L1-199156978	28313592	26950784	26430188
RNA004098L1-208990793	40450192	34939972	34171284
RNA004099L1-193605413	31042384	28486116	27620228
RNA004100L1-199160974	16996700	15967724	15642864
RNA004101L1-208994797	21501740	19406056	18977176
RNA004102L1-193606415	32002720	29566368	28661324
RNA004103L1-199155967	17936712	17099796	16769796
RNA004104L1-208994798	23743452	21424648	20963672
RNA004105L1-193593406	31383820	27240672	26444548
RNA004106L1-199164973	13970828	12184196	11906916
RNA004107L1-208997796	16518212	14318780	13974968
RNA004108L1-193608415	32839996	29743100	28840976
RNA004109L1-199166971	16053040	14675680	14328996
RNA004110L1-208997797	19389876	16554344	16098332
