contam	ensembl_id	RNA004060L1	RNA004061L1	RNA004062L1	RNA004063L1	RNA004064L1	RNA004065L1	RNA004066L1	RNA004067L1	RNA004068L1	RNA004069L1	RNA004070L1	RNA004071L1	RNA004072L1	RNA004073L1	RNA004074L1	RNA004075L1	RNA004076L1	RNA004077L1	RNA004078L1	RNA004079L1	RNA004080L1	RNA004081L1	RNA004082L1	RNA004083L1	RNA004084L1	RNA004085L1	RNA004086L1	RNA004087L1	RNA004088L1	RNA004089L1	RNA004090L1	RNA004091L1	RNA004092L1	RNA004093L1	RNA004094L1	RNA004095L1	RNA004096L1	RNA004097L1	RNA004098L1	RNA004099L1	RNA004100L1	RNA004101L1	RNA004102L1	RNA004103L1	RNA004104L1	RNA004105L1	RNA004106L1	RNA004107L1	RNA004108L1	RNA004109L1	RNA004110L1
misc_RNA	ENSG00000199200	75	120	139	138	309	338	220	240	207	165	124	121	77	126	129	72	118	111	86	112	182	16	87	22	49	110	151	120	109	87	78	115	105	131	116	218	113	129	166	133	77	139	386	112	138	64	74	51	65	90	89
misc_RNA	ENSG00000199222	16	6	1	4	10	11	31	32	15	6	7	22	31	16	36			20	6	5		1		1	32	1		5	3	1	4	10	4	3		10	65	94	33	19	176	2	9	119	5	42		85		43	
misc_RNA	ENSG00000199223	2	1			1	1	5	1	2	1	2		4	1	1				1						1			1	1	1				11			4	4	5	1					3	1			1		
misc_RNA	ENSG00000199224	1						1		5	9		2	2	3	1				7	2	4							1		1	1							9	2	1		6	1		2						
misc_RNA	ENSG00000199291	12	6		3		47	26		2	21	42	21	154	2	5	16	2	1	13	9	1		1		5	1		9		1			1			4	6	4	7	1	1	19	1	1	2	1				12	
misc_RNA	ENSG00000199357	15	4	10	4		188	5	1	18	9				3					18	3	7		23		1		26	7	2		3	4				10	3		4			52	27		18	4		3			8
misc_RNA	ENSG00000199410	3				4	1			19	2	5		18	1	11	7		1	1											4			1			1	3		3		1			11	3						
misc_RNA	ENSG00000199424	6		3		2		3		3	32		2	3	2	5	8			22	8	3	21				5					1					3			2	2		11	6								
misc_RNA	ENSG00000199461	14	5	2	6	6	4	6	11	17	10	4	6	13	46	15			11	20	16	5		19		45	23	3		5	1		2	9		25	16	63	45	28	14	1		7	11	3	30		11		1	
misc_RNA	ENSG00000199515	145	156	300	70	131	250	145	161	289	187	166	317	104	166	321	108	145	245	214	207	332	26	78	65	142	149	252	138	136	284	180	172	303	130	156	294	215	218	401	131	147	237	153	161	292	74	95	143	61	96	154
misc_RNA	ENSG00000199567	1	77													8				5												1	3		1	2	3															
misc_RNA	ENSG00000199732	5	4	3		16	2	10	9	36	2	2		3	11	10					2					287	23					9		6		3	25	4	19	5	2			14								
misc_RNA	ENSG00000199788	48		1	1			4			6	1			2						4									6						6									1							
misc_RNA	ENSG00000199949	3		1	2			1	1	3	1		1	1	1	1			4	4	2	1			3				3			10		1	1			1		1			2	1		4						
misc_RNA	ENSG00000199990	202	138	222	150	167	195	520	295	391	390	307	334	1007	735	750	108	58	89	139	137	191	45	126	3	244	30	46	172	123	139	337	228	161	104	74	165	113	104	94	149	202	59	174	143	158	42		74	11		3
misc_RNA	ENSG00000200041	13		18		1	5	83	11	15	7	18	113	18	71	1	4	17		22						8	268	71	50		33	217	94	2	21	1	4	8	14	85	44	13	1	1		8	30		45			
misc_RNA	ENSG00000200064	22	18	41	25	30	14	193	188	36	79	40	43	92	47	44	83	16	9	54	19	24	4	13	2	26	16	21	41	25	17	68	59	39	33	15	35	19	15	8	90	28	24	115	69	57	3	4	2	18	4	3
misc_RNA	ENSG00000200090	5	8	8	3	2	2	21	3	5	2	2	11	8	15	2	8	2	9	11	13	5	12						2	1	1	2	2	4		4	5	12	10	17	4	11	8	6	3	9			14		40	12
misc_RNA	ENSG00000200120	1			1			2	1					1																								5		1					1			1				
misc_RNA	ENSG00000200121	22	5	6	21	9	41	19	3	23	13	16	4	18	8	22	14	8	12	29	21	36	1			67	3	16	7	8	17	23	14	33	8	30	7	19	3	58	12	9	4	12		46	3	5		12	1	
misc_RNA	ENSG00000200201	5	1	2	3	7	10	25	6	5	8	9	10	18	11	7	1	2	3	15	3	5	1	4	1	2	5	4	4	4	8	14	9	6	5		2		1	3	9	4	5	9	12	10						
misc_RNA	ENSG00000200211	1253	1200	1380	1224	1242	1571	2824	2383	1029	1084	898	767	834	1502	1136	1296	646	770	1772	1681	1438	173	449	199	1610	843	1062	1248	674	811	1426	897	936	832	648	1188	1304	947	1568	584	855	758	1150	867	650	564	400	490	669	553	1003
misc_RNA	ENSG00000200291	1	3	2	4	4	6	2	8	6	7	25	3	9	9	6					9	2				1			1			1	6			2	3	6	15	2		3		5	9	4						5
misc_RNA	ENSG00000200309	3	1		44	30	34	7	3	130	6	2	50	1		2	10	6		22	1	92		1	13	3	16		17			6		1	63	5	1	9		4	4	1	10	40		2	1	2	10	2	3	20
misc_RNA	ENSG00000200428	1													1	2											3							10											4	6						
misc_RNA	ENSG00000200494	7	8	2	8	13	3	17	8	2	11	3	11	13	17	17	19	20		15	1	10		3		21	38		4	6		3	1	9	7	1	3	28	19	23	3		8	7	5	1	14		2	25		2
misc_RNA	ENSG00000200506	4	6	8	1	2	55	8	12	17	12	6	5	21	12	4				213	1	1				5				7		9	6	2	10	22	11	14	78	32	17	207		11	4	9	97		7	1		5
misc_RNA	ENSG00000200521	15	62	11	2	16	6	27	54	222	26	14	43	42	14	31	5	77	28	9	34	80	1			392	119	252	85	1	5	24	11	11	40	50	37	57	55	98	14		12	22	8	17	40	1		1	52	130
misc_RNA	ENSG00000200526	84	150	101	125	233	379	93	391	198	128	177	121	95	154	121	84	6	107	123	171	156	19	88	51	81	163	90	11	118	145	124	176	163	113	190	129	143	219	174	113	165	97	104	166	128	78	134	62	64	123	55
misc_RNA	ENSG00000200537	108	110	113	93	179	136	150	140	142	139	122	100	98	97	89	94	94	100	147	119	109	24	50	15	111	95	67	79	96	100	123	116	111	103	99	103	187	102	136	79	108	120	116	98	101	45	46	30	42	50	46
misc_RNA	ENSG00000200544	4		1		2		4	2		1	3			5	9			2	3	5	5				10				1		6	1	6				2	3		17	8	11			7						
misc_RNA	ENSG00000200615	11701	71	4683	13046	1622	14300	7538	421	26123	44148	7986	7240	3859	33000	7428	3760	3401	2439	7247	5987	7972	639	1868	810	20796	13576	5418	4518	951	2449	6523	6347	751	3899	12703	17187	2081	1950	1242	4129	6157	540	5232	3987	4506	575	5	651	359	91	1737
misc_RNA	ENSG00000200769	2		1	6	1		2	1	2				1	2		1			2						1	1	2	1	1	1	5	1				1	1	1	1	3		3	2		2	1			1	1	
misc_RNA	ENSG00000200855	19	156	79	38	12	18	146	6	18	18	18	85	412	23	61	12	69		333	56	125		111	31	103		122	9	9		78	49	7	120	14	59	180	75	90	200	1		135	12	46			11	12	31	43
misc_RNA	ENSG00000201098	174	235	227	79	201	195	250	306	347	200	313	240	253	383	297	211	207	248	192	249	193	12	162	21	139	195	153	132	236	183	163	195	210	167	241	202	280	359	306	122	223	196	181	250	226	59	127	75	36	69	78
misc_RNA	ENSG00000201279	195	11617	293	685	12457	1190	29524	17893	2032	3915	3938	39142	43176	2789	5095	10122	979	963	27083	16080	23724	49	296	39	362	1407	3190	23479	721	15766	2894	22922	584	1478	146	2980	5147	587	751	41398	27316	2780	48919	34992	41077	1410	568	180	1609	1204	46
misc_RNA	ENSG00000201405	90	127	132	138	378	367	116	337	205	134	163	130	99	158	128	82	156	98	129	141	130	13	47	82	78	127	68	112	117	90	115	168	121	69	135	114	146	163	128	69	118	103	92	154	122	36	110	77	54	92	69
