spikeID	RNA004060L1	RNA004061L1	RNA004062L1	RNA004063L1	RNA004064L1	RNA004065L1	RNA004066L1	RNA004067L1	RNA004068L1	RNA004069L1	RNA004070L1	RNA004071L1	RNA004072L1	RNA004073L1	RNA004074L1	RNA004075L1	RNA004076L1	RNA004077L1	RNA004078L1	RNA004079L1	RNA004080L1	RNA004081L1	RNA004082L1	RNA004083L1	RNA004084L1	RNA004085L1	RNA004086L1	RNA004087L1	RNA004088L1	RNA004089L1	RNA004090L1	RNA004091L1	RNA004092L1	RNA004093L1	RNA004094L1	RNA004095L1	RNA004096L1	RNA004097L1	RNA004098L1	RNA004099L1	RNA004100L1	RNA004101L1	RNA004102L1	RNA004103L1	RNA004104L1	RNA004105L1	RNA004106L1	RNA004107L1	RNA004108L1	RNA004109L1	RNA004110L1
LP1-01	5617	1876	6284	5230	2705	6995	5871	1331	3295	2864	809	2728	4671	887	2182	88504	27773	88891	25618	8046	18725	193131	92155	220347	96502	39633	89390	5981	2098	5623	3293	886	1634	24457	7917	24252	8870	1779	5374	25567	8625	22891	6248	1891	6571	99677	43775	98787	74729	29426	73380
LP1-02	60	17	81	59	31	83	48	12	41	48	11	38	53	12	29	919	312	1104	291	88	162	1775	927	2203	1069	417	856	80	22	80	40	18	25	223	88	244	104	21	60	150	77	209	56	12	59	1013	583	1169	933	320	961
LP1-03	689	218	852	776	386	1032	892	183	597	416	116	419	811	129	361	11878	3502	11092	3117	1011	2405	25669	11376	25353	11973	4900	11727	842	321	759	451	144	298	3591	1106	3035	1111	289	707	3515	1157	2784	763	252	775	14177	5921	13733	9971	4800	9765
LP1-04	53	22	59	93	21	79	54	9	49	41	8	20	52	13	29	955	321	1015	340	80	263	2716	1277	2975	1465	557	1170	83	25	49	42	13	22	297	97	338	103	22	55	280	106	246	89	21	75	1780	872	1814	1391	511	1526
LP1-06	7295	2538	8244	8879	4450	11167	9158	2153	5617	4546	1549	4205	9923	1570	3710	133873	41764	114239	35565	12032	26545	301061	155461	328501	138000	63820	130290	8964	3600	8383	4718	1525	3018	40625	12858	33673	11955	4128	7948	51962	20476	49654	12578	4562	12584	173008	95152	182322	153049	67417	140382
LP1-07	5745	2063	6198	8436	3519	8035	6154	1841	4338	3922	1177	3195	5369	1336	3152	95125	35931	91682	31052	10276	24477	246771	142661	280453	121815	56717	103032	7503	3018	5651	3805	1045	2629	29603	10566	26324	9798	2442	6225	32135	12442	27323	8734	3070	7994	134394	76572	153701	116558	52051	117416
LP1-10	659	230	673	847	380	978	786	184	496	408	110	410	681	160	368	10412	3601	9539	3134	987	2355	23711	12911	27200	11967	5292	10178	816	346	660	433	125	310	3093	1114	2717	1110	231	647	2878	1003	2371	674	211	729	11229	5581	12283	9750	4177	9125
LP1-11	650	201	649	664	287	832	614	133	388	273	112	342	675	144	275	9521	2802	9649	2871	965	1622	21973	10183	22015	11153	4854	10362	693	194	634	349	114	190	3117	996	2486	988	244	676	2429	873	2313	615	194	642	13320	6225	12996	10361	3749	9086
LP1-12	59	28	58	88	29	82	67	15	31	37	9	26	49	12	33	919	321	1049	317	109	246	2830	1343	3012	1016	527	1163	77	26	45	28	10	24	260	82	285	113	28	77	261	99	226	54	26	71	1246	641	1627	1253	462	1225
RC1-01	28	14	41	47	41	97	146	30	101	82	39	69	51	23	60	130	46	77	45	26	44	20	31		24	38	8	37	22	51	39	26	51	63	38	65	16	4	13	76	40	74	114	44	67		12		52		5
RC1-02	2																																																		
RC1-03	47	11	32	31	26	48	104	30	89	68	24	50	23	28	53	72	52	89	56	22	53	2		36	38	12	40	30	16	31	30	10	53	75	34	47	25	7	16	65	46	42	81	59	74	15	26	47	38		23
RC1-04	53	17	56	54	46	69	168	16	106	79	36	89	68	22	77	67	24	71	76	25	64	2	1	12	19	12	34	25	24	50	51	25	57	106	48	57	47	22	20	121	48	127	135	43	128	14	24	33	35	13	40
RC1-06	344	145	356	453	285	550	901	293	619	712	311	694	672	350	589	630	352	709	432	202	390	290	185	222	457	150	304	248	174	392	505	299	316	578	243	401	76	50	107	879	354	731	733	339	659	263	84	124	116	40	108
RC1-07	2530	1237	3289	2859	2216	5044	7631	1964	6133	4513	2147	4744	3605	1458	3133	5617	3228	5653	4345	2122	3477	1877	2064	1726	3560	1887	3292	1706	1427	3214	2624	1463	2936	5923	2804	4754	1185	705	1697	6497	2924	7087	7083	3055	6487	1731	1314	2528	1426	678	1472
RC1-09	3227	1563	3765	5294	3676	6910	10153	3503	8512	8627	2940	6499	6109	3049	6442	7945	5698	7718	6337	2722	5788	2050	2840	2060	4233	1933	3382	4129	3328	5423	5422	2264	6442	9738	4595	8469	2532	1684	3428	10289	5051	10062	10427	4917	8408	2668	2054	3537	2185	1460	2952
RC1-10	3218	1704	3410	3256	2577	4549	7416	2319	5838	6076	2653	5018	4659	2449	4659	5186	3337	4290	4522	2060	3331	1472	1757	1290	3365	1761	2716	2255	1685	3370	3164	1697	3487	5932	3133	4977	1963	1270	2643	5716	2827	5285	6624	3287	5427	2071	1608	2388	1615	963	1762
RC1-11	280	159	331	347	190	383	679	310	531	673	247	489	297	165	410	337	403	435	420	165	428	165	268	269	274	129	260	246	250	308	329	159	431	506	242	376	142	96	202	181	91	334	189	130	289	66	107	218	132	88	203
RC1-12	291	155	389	285	287	438	709	208	585	509	192	371	294	131	276	689	354	564	506	268	452	132	227	196	416	219	460	181	170	313	225	110	382	617	353	533	164	143	269	739	318	669	939	393	632	275	206	310	118	122	150
RC2-25	291	156	360	377	268	534	725	201	669	580	237	531	385	162	383	750	450	653	549	290	523	180	178	65	514	245	382	261	175	287	347	152	369	803	353	666	196	130	286	849	330	834	804	356	646	276	204	202	140	92	230
RC2-28	903	660	931	809	765	929	1715	920	1325	1471	858	1006	992	948	1051	1012	1184	875	1249	761	884	303	562	226	1028	656	507	735	682	674	968	705	917	1221	815	1024	593	490	669	1270	1031	1269	1497	1057	1114	291	536	565	306	265	310
RC2-34	1076	1184	1417	672	961	779	1805	1211	1499	983	685	682	446	624	646	1557	1617	1425	1930	1545	1482	325	520	553	1205	1049	867	752	1046	884	854	590	1146	1403	1347	1184	2055	1267	1791	1982	1949	1479	2272	2199	1751	1097	1752	793	1471	1710	840
