spikeID	RNA004898S3	RNA004911S3	RNA004913S3	RNA004914S3	RNA004919S3	RNA004920S3	RNA004923S3	RNA004925S3	RNA004928S3	RNA004929S3	RNA004932S3	RNA004935S3	RNA004936S3	RNA004940S3	RNA004942S3	RNA004943S3	RNA004944S3	RNA004946S3	RNA004948S3	RNA004954S3	RNA004959S3	RNA004965S3	RNA004971S3	RNA004972S3	RNA004974S3	RNA004975S3	RNA004976S3	RNA004977S3	RNA004982S3	RNA006194L1	RNA004896S3	RNA004901S3	RNA004902S3	RNA004904S3	RNA004905S3	RNA004906S3	RNA004912S3	RNA004917S3	RNA004918S3	RNA004921S3	RNA004931S3	RNA004934S3	RNA004938S3	RNA004939S3	RNA004947S3	RNA004950S3	RNA004951S3	RNA004952S3	RNA004957S3	RNA004958S3	RNA004961S3	RNA004962S3	RNA004963S3	RNA004966S3	RNA004967S3	RNA004968S3	RNA004970S3	RNA004979S3	RNA004980S3	RNA006195L1	RNA004895S3	RNA004897S3	RNA004900S3	RNA004903S3	RNA004908S3	RNA004909S3	RNA004910S3	RNA004922S3	RNA004924S3	RNA004926S3	RNA004927S3	RNA004930S3	RNA004933S3	RNA004937S3	RNA004941S3	RNA004945S3	RNA004949S3	RNA004953S3	RNA004955S3	RNA004956S3	RNA004960S3	RNA004964S3	RNA004969S3	RNA004973S3	RNA004978S3	RNA004981S3	RNA004983S3	RNA004984S3	RNA006189L1	RNA006192L1
LP1-01	9399	7417	12	349	7028	10445	8320	7191	7690	1478	4976	11275	11130	9721	9938	10515	8437	7900	8450	9808	6798	8558	581	6060	5658	9054	9158	5270	7601	8647	2335	5471	7045	946	8	4519	6358	5348	6921	4366	618	3750	8672	6179	5893	4525	5294	6193	7006	4936	5479	5196	6023	2365	443	4817	4704	6059	5017	6913	2714	1650	2891	4723	5044	4749	4161	6406	3431	2021	5349	5162	4948	995	4841	6379	9174	6343	2357	5908	4674	5560	4224	2104	3568	4781	4940	6367	7237	4889
LP1-02	198	119	NA	NA	115	78	141	161	91	332	93	134	96	151	143	183	156	142	103	170	227	120	362	102	56	83	114	99	138	201	NA	77	96	NA	NA	174	114	32	50	80	NA	47	134	61	78	105	90	102	45	68	98	88	43	175	254	73	43	58	83	134	19	NA	60	83	55	45	102	104	65	89	51	84	52	262	105	80	128	87	145	69	92	76	38	56	28	77	155	76	112	77
LP1-03	959	1723	14	648	1079	1179	1388	1385	1093	4876	535	1392	1419	1164	1435	1378	1142	1022	971	1263	1807	1099	2942	833	724	1385	1049	735	1174	1599	466	838	1119	162	NA	1203	1388	492	799	649	212	1022	780	647	620	609	646	663	703	737	533	623	679	1404	1697	597	476	524	730	1229	437	71	782	1033	559	401	731	759	556	298	698	863	735	1900	829	775	1025	698	989	613	625	649	341	875	464	743	670	532	1175	916
LP1-04	45	93	NA	53	76	72	67	68	56	319	92	95	143	103	110	77	98	77	95	91	164	118	312	61	92	80	56	62	77	45	20	66	72	29	NA	107	83	17	64	43	25	45	61	37	44	24	29	59	60	24	50	52	95	85	208	54	30	64	71	95	NA	NA	7	62	28	24	18	46	23	25	52	54	59	144	68	56	61	47	72	66	53	56	28	86	39	53	62	77	114	66
LP1-06	8293	11207	325	4755	8968	8587	9147	9110	7423	9306	8983	12916	10650	8714	9904	9819	7909	8405	7876	10037	10034	7661	7828	6206	5677	8864	8751	5754	7846	9432	8204	7422	6793	2581	87	6530	7244	5647	5449	4939	4196	7736	6970	5398	5156	5390	4905	5128	5290	6008	4783	5271	5288	5730	4178	4209	3518	5204	5748	6997	5951	5701	9025	6270	4003	4537	6446	5350	3532	3694	4889	6247	5105	7667	5218	6098	8451	5290	5480	5230	4771	4801	3457	4955	3783	7388	5873	5516	6945	4979
LP1-07	9440	11170	456	3030	9080	9013	10996	12397	7467	36960	10208	11870	12803	10425	12006	11433	9359	9533	8507	9819	15417	8529	28391	7399	6414	9673	9144	7131	10513	10762	4454	7050	8067	2173	128	11003	10301	5640	6543	5626	8413	6096	7876	6206	5679	6587	5234	6066	6000	6922	6191	6958	6312	10994	21530	5135	4863	6230	8067	8476	6314	1015	4513	7425	4133	4573	7807	6217	4106	5359	5206	6669	6126	17153	7438	5683	8397	5947	9100	4677	5908	6026	4110	8466	4276	6976	7545	6288	7432	5282
LP1-10	1415	1724	41	160	978	1396	1734	1218	1203	6610	998	1373	1867	1413	1638	1737	1163	1439	1334	1471	2071	1093	3956	1002	838	1442	1592	1130	1398	1569	520	1067	1105	132	NA	1786	1382	459	955	891	329	1020	1053	755	773	725	622	834	904	948	735	743	830	1403	2353	766	559	856	1035	956	495	279	892	1012	729	491	907	866	657	397	736	1078	809	2661	1042	847	1351	841	1333	616	898	797	563	891	637	1078	1034	820	979	683
LP1-11	457	639	NA	267	244	378	498	662	359	2224	202	630	862	750	938	912	687	605	558	832	1074	584	1890	593	464	596	461	381	469	1279	409	317	391	129	63	466	412	89	296	206	103	325	577	410	399	369	449	363	375	436	396	392	446	823	1666	354	322	256	346	793	127	138	219	461	204	123	414	306	192	179	262	324	287	1364	714	502	629	415	769	433	447	392	336	677	257	396	598	559	759	493
LP1-12	91	76	NA	1	53	100	103	76	93	597	26	81	103	110	146	84	116	93	62	66	139	85	341	69	59	141	77	68	83	99	28	53	49	NA	NA	130	87	15	73	62	NA	61	95	44	56	49	40	58	34	78	39	68	53	72	151	25	59	64	99	67	11	NA	27	105	51	36	61	61	27	51	67	125	87	259	78	51	92	48	88	61	71	67	59	71	28	62	93	84	118	51
RC1-01	34	99	NA	79	NA	10	131	55	87	554	31	33	224	84	78	96	59	76	74	46	189	20	93	32	NA	91	86	161	115	96	97	41	48	NA	1	273	78	7	18	20	NA	141	34	66	24	47	49	54	14	50	38	35	44	114	130	51	25	74	78	42	NA	NA	99	52	36	15	32	26	21	NA	27	78	78	273	70	69	36	64	133	20	24	29	10	19	39	140	98	66	73	34
