"","RNAID","genes_above0","total_est_counts_above0","genes_aboveTh","total_est_counts_aboveTh","GraphTube","Tube","donorID","TimeLapse","RNAisolation","GraphKit","tube_kitID","tube_kit_timeID","EluateV"
"1","RNA014889",7490,266400.108685682,3158,256109.522388757,"SER","serum","D5","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"2","RNA014890",7910,240063.38983161,3431,228676.272056027,"CIT","Citrate","D1","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"3","RNA014891",8115,234454.856235015,3438,222807.652552451,"SER","serum","D2","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"4","RNA014892",8191,227281.029935989,3476,214996.19292783,"EDTA","EDTA","D1","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"5","RNA014893",9513,299657.239776943,4541,286302.20924943,"CIT","Citrate","D3","T16","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T16",14
"6","RNA014894",8558,261910.449725481,3723,249599.33124174,"SER","serum","D1","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"7","RNA014895",8788,318806.764955454,3766,305821.459798299,"SER","serum","D5","T04","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T04",14
"8","RNA014896",10104,378860.00357645,5185,365513.453203894,"EDTA","EDTA","D3","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"9","RNA014897",10328,411661.591186499,5679,398564.611436742,"CIT","Citrate","D3","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"10","RNA014898",10418,345249.571850057,5608,331805.740783435,"CIT","Citrate","D2","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"11","RNA014899",8507,258028.967748764,3707,245404.357369319,"CIT","Citrate","D1","T0","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T0",14
"12","RNA014900",9343,281422.895625348,4651,268596.886839072,"EDTA","EDTA","D5","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"13","RNA014901",9238,287161.85949861,4472,274132.967680925,"EDTA","EDTA","D3","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"14","RNA014902",7852,189482.622299253,3767,179030.028890738,"CIT","Citrate","D2","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"15","RNA014903",8404,248258.896830419,3688,236264.767013848,"CIT","Citrate","D5","T04","miRNeasySPkit","MIR0.2","CIT_MIR0.2","CIT_MIR0.2_T04",14
"16","RNA014904",8862,333800.612410851,4170,321550.953837475,"EDTA","EDTA","D5","T16","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T16",14
"17","RNA014905",7816,218408.049442839,3426,207494.253392842,"EDTA","EDTA","D5","T04","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T04",14
"18","RNA014906",10014,312795.152809042,5242,299713.946860805,"EDTA","EDTA","D2","T0","miRNeasySPkit","MIR0.2","EDTA_MIR0.2","EDTA_MIR0.2_T0",14
"19","RNA014907",8345,272248.75299211,3538,260087.30517229,"SER","serum","D5","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"20","RNA014908",9259,297557.033182069,4362,284622.619240575,"SER","serum","D1","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
"21","RNA014909",10060,360384.509585841,5225,347219.276433378,"SER","serum","D4","T16","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T16",14
"22","RNA014910",9831,370803.744830698,4797,357232.922070943,"SER","serum","D3","T0","miRNeasySPkit","MIR0.2","SER_MIR0.2","SER_MIR0.2_T0",14
