"UniqueID"	"SampleID"	"raw_reads"	"qcfiltered_reads"	"post_subsampling"	"post_deduplication"	"duplicate_prct"	"kallisto_prct_alignment"	"strandedness_prct"
"RNA014889L1"	"MIR0.2_SER_T0_D5"	48609479	42605890	14000000	552412	96.05	69.14	99.06
"RNA014890L1"	"MIR0.2_CIT_T04_D1"	60037846	51033862	14000000	449739	96.79	68.09	96.77
"RNA014891L1"	"MIR0.2_SER_T16_D2"	45202263	39344995	14000000	524904	96.25	71.35	98.6
"RNA014892L1"	"MIR0.2_EDTA_T04_D1"	49858185	44171186	14000000	455576	96.75	72.82	99.06
"RNA014893L1"	"MIR0.2_CIT_T16_D3"	69133197	59395934	14000000	636742	95.45	75.7	98.32
"RNA014894L1"	"MIR0.2_SER_T16_D1"	41150012	37986509	14000000	525934	96.24	72.6	97.8
"RNA014895L1"	"MIR0.2_SER_T04_D5"	46631908	42916358	14000000	675227	95.18	71.2	98.56
"RNA014896L1"	"MIR0.2_EDTA_T16_D3"	32030606	26485630	14000000	751619	94.63	71.68	98.63
"RNA014897L1"	"MIR0.2_CIT_T0_D3"	59232433	56405690	14000000	746017	94.67	76.28	98.91
"RNA014898L1"	"MIR0.2_CIT_T0_D2"	51736007	49941352	14000000	616304	95.6	80.32	98.71
"RNA014899L1"	"MIR0.2_CIT_T0_D1"	58880485	56914848	14000000	478901	96.58	74.44	99.41
"RNA014900L1"	"MIR0.2_EDTA_T0_D5"	64295839	61724116	14000000	502728	96.41	78.87	98.69
"RNA014901L1"	"MIR0.2_EDTA_T04_D3"	86536990	83333545	14000000	549807	96.07	77.42	99.42
"RNA014902L1"	"MIR0.2_CIT_T04_D2"	64786136	58915274	14000000	348138	97.51	80.8	99.07
"RNA014903L1"	"MIR0.2_CIT_T04_D5"	34267821	30215339	14000000	451611	96.77	72.6	97.63
"RNA014904L1"	"MIR0.2_EDTA_T16_D5"	44843009	39770823	14000000	640906	95.42	69.21	98.9
"RNA014905L1"	"MIR0.2_EDTA_T04_D5"	42709450	37709409	14000000	382904	97.26	71.99	99.24
"RNA014906L1"	"MIR0.2_EDTA_T0_D2"	44852470	36688816	14000000	582131	95.84	77.24	98.46
"RNA014907L1"	"MIR0.2_SER_T16_D5"	37473274	34863562	14000000	567930	95.94	71.5	98.25
"RNA014908L1"	"MIR0.2_SER_T0_D1"	37138974	34148522	14000000	629919	95.5	76.34	99.3
"RNA014909L1"	"MIR0.2_SER_T16_D4"	67465147	63004087	14000000	720365	94.85	79.36	98.78
"RNA014910L1"	"MIR0.2_SER_T0_D3"	59612296	55684828	14000000	770704	94.49	74.56	98.8
"RNA014911L1"	"MIR0.2_SER_T16_D3"	28076648	24279432	14000000	578157	95.87	70.01	97.45
"RNA014912L1"	"MIR0.2_EDTA_T0_D1"	35261018	31234648	14000000	565863	95.96	75.93	98.37
"RNA014913L1"	"MIR0.2_CIT_T04_D4"	41021802	39575665	14000000	589766	95.79	83.88	98.33
"RNA014914L1"	"MIR0.2_EDTA_T0_D3"	69484562	67211443	14000000	725127	94.82	76.79	98.24
"RNA014915L1"	"MIR0.2_SER_T04_D3"	51735315	50286230	14000000	603677	95.69	74.16	98.02
"RNA014916L1"	"MIR0.2_CIT_T16_D5"	47612889	44529242	14000000	747964	94.66	73.6	98.53
"RNA014917L1"	"MIR0.2_SER_T04_D4"	62220331	59558329	14000000	813626	94.19	79.81	98.62
"RNA014918L1"	"MIR0.2_CIT_T16_D4"	50760381	44813578	14000000	604254	95.68	81.29	98.79
"RNA014919L1"	"MIR0.2_CIT_T0_D4"	30220556	24848681	14000000	748279	94.66	79.2	98.86
"RNA014920L1"	"MIR0.2_SER_T0_D4"	24569301	20097077	14000000	568356	95.94	80.07	97.78
"RNA014921L1"	"MIR0.2_SER_T04_D2"	31200605	27876587	14000000	695837	95.03	76.71	99
"RNA014922L1"	"MIR0.2_SER_T04_D1"	52814083	47082395	14000000	543065	96.12	72.14	99.83
"RNA014923L1"	"MIR0.2_CIT_T04_D3"	45504349	39472819	14000000	798587	94.3	74.31	99.1
"RNA014924L1"	"MIR0.2_EDTA_T16_D4"	40888986	35634041	14000000	956330	93.17	83	98.91
"RNA014925L1"	"MIR0.2_EDTA_T04_D4"	57164705	50710406	14000000	797868	94.3	85.13	99.02
"RNA014926L1"	"MIR0.2_CIT_T16_D2"	39513454	34601685	14000000	765607	94.53	81.94	98.77
"RNA014927L1"	"MIR0.2_EDTA_T04_D2"	27757862	24084630	14000000	661364	95.28	76.01	99.01
"RNA014928L1"	"MIR0.2_SER_T0_D2"	30104327	27037639	14000000	782367	94.41	76.6	98.03
"RNA014929L1"	"MIR0.2_EDTA_T16_D1"	44962421	38332692	14000000	551252	96.06	72.89	98.4
"RNA014930L1"	"MIR0.2_EDTA_T16_D2"	43062814	34643494	14000000	495981	96.46	69.02	98.2
"RNA014931L1"	"MIR0.2_CIT_T16_D1"	33973090	28645647	14000000	452850	96.77	74.33	98.51
"RNA014932L1"	"MIR0.2_EDTA_T0_D4"	36374561	29858195	14000000	404437	97.11	77.53	98.55
"RNA014933L1"	"MIR0.2_CIT_T0_D5"	46261254	44305093	14000000	644162	95.4	70.74	98.69
"RNA014979L1"	"CCF2_SER_T0_D3"	21410081	19132671	14000000	1533478	89.05	77.21	99.44
