contam	ensembl_id	RNA014934	RNA014935	RNA014936	RNA014937	RNA014938	RNA014939	RNA014940	RNA014941	RNA014942	RNA014943	RNA014944	RNA014945	RNA014946	RNA014947	RNA014948	RNA014949	RNA014950	RNA014951	RNA014952	RNA014953	RNA014954	RNA014955	RNA014956	RNA014957	RNA014958	RNA014959	RNA014960	RNA014961	RNA014962	RNA014963	RNA014964	RNA014965	RNA014966	RNA014967	RNA014968	RNA014969	RNA014970	RNA014971	RNA014972	RNA014973	RNA014974	RNA014975	RNA014976	RNA014977	RNA014978	RNA015236	RNA015237	RNA015238	RNA015239	RNA015240	RNA015241	RNA015242	RNA015243	RNA015244	RNA015245	RNA015246	RNA015247	RNA015248	RNA015249	RNA015250	RNA015251	RNA015252	RNA015253	RNA015254	RNA015255	RNA015256	RNA015257	RNA015258	RNA015259	RNA015260	RNA015261	RNA015262	RNA015263	RNA015264	RNA015265	RNA015266	RNA015267	RNA015268	RNA015269	RNA015270	RNA015271	RNA015272	RNA015273	RNA015274	RNA015275	RNA015276	RNA015277	RNA015278	RNA015279	RNA015280
lncRNA	ENSG00000157306	1						1											1																1									2	1					1																																									
lncRNA	ENSG00000174365	2												1								1													1																1																																								
lncRNA	ENSG00000179818	1	3		6				1						1	1			1	2				1	1					5	2	1		5										10	5			3				1		1						1											1			1										1					1		
lncRNA	ENSG00000196756	1	19		3	3						2			1				4			4						2														5	7										3			2									2								1				2							1							
lncRNA	ENSG00000197085	7	2	12	10	2	6	20	6	3	12	4		3	15	1	3	3	23	27			2	73	23	2	2	40		3	30	2	4	7	20	3	4		4		20	15	30	37	48	3		7		8	3	18	16		2	12			14	3		3		1		9	7	2	10	1	5		4				19		41		1	21	7	22					19	1	
lncRNA	ENSG00000203334	3	1		1			2	25				1	20		1	3	1	4	1	3	2		3		5	1			1	11		2	73				10	1	11	1	7	3	1																																							1								
lncRNA	ENSG00000204685	2																																																										2											1		1																		
lncRNA	ENSG00000218510	1																																							1											2				1															2																				
lncRNA	ENSG00000224079	2																																																																																									
lncRNA	ENSG00000224209	1													5		1		1	5	12	2		12	4	2		6	3		4		2		3						4		3	1				1					2				1		1							1													2			1									2
lncRNA	ENSG00000229191	1																																																		1															1																								
lncRNA	ENSG00000230798	1																																																																																									
lncRNA	ENSG00000231721	2		2		1	2					3	1	4	1	2		3		1		1	15	8	1	4		3	2		6				7		2	6	1	4	7	1		1	12		5	4				1	5		1	5		2	1			3							8				2				4		2			7		2					1		
lncRNA	ENSG00000232021	1		4						1	1		4						3	1								2			5										2		3		1							8																	1																						
lncRNA	ENSG00000233559	2															7														1														2	2																																													
lncRNA	ENSG00000234840	5		1			2					1			5					1				5	1			3			3				11					1	7		3	4		1				3		4	4			3			1								4		2								1														
lncRNA	ENSG00000241288	1	3	10	6	9		2	4	1	11	4	4		3	1	1	1	1			10	2	32	14	1		16	3		6	1	3		7	1			1		17		10		55	5				3	1	1	1	1		1	2			1									1						2		9		4			3		5					1		1
lncRNA	ENSG00000245112	2																																																																																						1			
lncRNA	ENSG00000248555	2			1			3					1	3						7			12	9	1	5		1			4				1	3					5		9	8	4				2			3				2																				1						5		1			2		4		
lncRNA	ENSG00000249395	3					1	5			18			10	3				8	1				9					12						1	1					5	4	4		2			1					1			2				2	4			1	1	1					3											5		1				2		1	3
lncRNA	ENSG00000252690	78			117			89			13	75		25	87	130		69	4	76	37	111	22						24		8	51	53				59		67	29	60		131		103	40	145	146	95			240	224	128				159	133					119	287			182			99		207		176		191	106		82		86	115	194		125		150			198
lncRNA	ENSG00000255717	10	329	39	109	40	12	85	21	33	16	85	23	11	122	11		7	25	57	21	125	3	76	74		5	37	13		31	38	19	54	116	18	1	29	8	1	103	1	98	83	54		23	13	1	67	14	51	40	1	40	25	11	73	35	28	19	35	5		4	43	83	6	8	20	46	64	88	4	109	23	20	3	49	72	7	28	23	27	25	15	6	17	43	3	73
lncRNA	ENSG00000255794	1			3															2						1												1							2																																														
lncRNA	ENSG00000257657	1						3				1	1	2						1	7							5	1											1	2			4	11						2	1				1											1	4									4	2				2							3	3	
lncRNA	ENSG00000258702	1																																																		2																																							
lncRNA	ENSG00000259376	1						3			1													6		1		3							2									10	2																					1	1		2								2											2			
lncRNA	ENSG00000260401	1																																																							1																																		
lncRNA	ENSG00000260426	1																																																																																									
lncRNA	ENSG00000261190	2	1		6			1												4				3	1												1				6		1		1								3																1		1						4													3	
lncRNA	ENSG00000261645	3	2		5		2	5	2						4					2		1	7	10	5		1	2	6	2	6			8						2	3		3	1	6	1	1					1	4			2						1		1			1		4								1		1	2		4	2	1				2	1		1
lncRNA	ENSG00000264066	6	1			1	8			1		10	3		1	3	6	7		4		1		2		1	5	5	3	1					2	3	3	1		3			6		1		4	8			8	2	6	2	5	1	3	6	3	4	2	3	3	9	6	2		1		5	1					3	2	1		6	3		1	1	2	4	9	3	7	2	
