MIMATID	RNA014934	RNA014935	RNA014936	RNA014937	RNA014938	RNA014939	RNA014940	RNA014941	RNA014942	RNA014943	RNA014944	RNA014945	RNA014946	RNA014947	RNA014948	RNA014949	RNA014950	RNA014951	RNA014952	RNA014953	RNA014954	RNA014955	RNA014956	RNA014957	RNA014958	RNA014959	RNA014960	RNA014961	RNA014962	RNA014963	RNA014964	RNA014965	RNA014966	RNA014967	RNA014968	RNA014969	RNA014970	RNA014971	RNA014972	RNA014973	RNA014974	RNA014975	RNA014976	RNA014977	RNA014978	RNA015236	RNA015237	RNA015238	RNA015239	RNA015240	RNA015241	RNA015242	RNA015243	RNA015244	RNA015245	RNA015246	RNA015247	RNA015248	RNA015249	RNA015250	RNA015251	RNA015252	RNA015253	RNA015254	RNA015255	RNA015256	RNA015257	RNA015258	RNA015259	RNA015260	RNA015261	RNA015262	RNA015263	RNA015264	RNA015265	RNA015266	RNA015267	RNA015268	RNA015269	RNA015270	RNA015271	RNA015272	RNA015273	RNA015274	RNA015275	RNA015276	RNA015277	RNA015278	RNA015279	RNA015280
MIMAT0004799	19	27	3	14	23	18	17	17		32	15	8	11	20	4	9	14		12	13	16	2	40	21	1	17	13	9	14	1	17	7	8	8	37	11	2	9	15	16		10	9	24		28	20	15	28	46	25	34	13	29	25	19	15	29	12	20	1	12	20	29	25	35	16	27	9	11	37	29	12	20	18	30	15	40	17	16	17	29	23	13	7	32	4	38	10	25
MIMAT0004774	3	13	6	38	9	12	17	19	1	4	14	10	27	16	8	12	9	1	9	1	9		18	15		10	13	26	24	1	6	10	9	14	26	10	1	23	6	13	4	10	10	27	15	24	30	13	29	38	18	14	16	31	25	21	32	7	15	10	14	31	8	28	10	23	12	7	14	25	6	13	9	13	3	21	11	29	15	23	22	4	25	10	22	35	20	19	28	15
MIMAT0000418	10	31		4	11	12	19	18	5	6	9		12	9	7	2			13	8	13	1	19	2	2	2	21		7	2	4	3	1		6			2		14	1	15	7	21		13	4	3	12	3	18	13	2	1	5	1		14			5	3	4		10	7		9	5	4	12	7	8		1	11	7	13	2	1		6	8	5	6	1	8	7		5
MIMAT0001413	4	2		11							1				1						1					1	2							1	4			3				4								2		3						4			6	4		2	3	2	5		2			4					3		1		1		3			3	6			
MIMAT0000446	88	294	42	202	173	50	123	80	19	24	67	59	35	189	48	47	44	13	87	28	179	12	79	57	40	45	47	21	32	47	53	55	17	55	99	35	66	29	21	48	36	100	58	92	33	100	186	23	36	80	180	157	53	179	194	62	23	78	44	68	141	31	49	39	63	142	50	39	45	41	145	170	41	162	47	114	38	156	37	70	113	84	162	39	87	37	143	175	70	124
MIMAT0004610	3	6	3	8	3	26	6	17	7	11	4	3	20	9	8	2		3	5	14	4	1	9		8	3		8	1	20	6	6	18	7	4	5	7	1		6		2	7	4	5	2	4	7	5	13	5	5	6	15	7	12	4	7	8	12		4	8	10	10	9	10	7	2	3	20	2	1	13	13	6	4	11	33	29	5	11	5	6	26	8	4	14	3	20
MIMAT0000082	2757	7801	979	2427	3431	2176	4268	1176	710	351	3681	1582	909	4902	2618	2462	1601	282	3707	734	4036	905	4706	1706	458	2152	3115	2046	1948	777	2554	1525	1997	1323	4153	1188	701	1485	1105	2679	865	2584	1362	4124	2043	5688	4372	1737	4895	3419	6230	5573	1894	5054	6566	2257	6613	3960	1467	2381	4331	927	1701	2905	3724	6480	2179	4731	1418	2668	4188	4033	1222	5322	2214	5735	1599	6121	3192	1604	2611	2640	4889	1842	3858	1839	3322	5233	2873	3701
MIMAT0000065	106	156	123	154	135	117	196	188	53	63	146	92	141	103	321	75	97	51	174	29	75	98	149	89	15	96	133	50	80	39	110	137	199	33	133	66	43	89	82	128	59	256	322	173	112	149	71	59	83	110	151	110	69	88	150	73	132	93	69	49	79	25	61	70	115	163	90	116	59	65	96	76	35	85	73	141	34	131	99	57	39	97	182	101	112	87	86	246	78	97
MIMAT0019214	8	1			3		5		2	6	3	7	1			6	12		4	2	5		4	3		2	4			12	4	3			1	4	10			4		2	1			4	1		3		3	5	3	4	1	5	4			8	3	5	3		4	6	1	1	1	5	2		3	3	3	4	1	4			2	2		3	1		5	2	3	
MIMAT0000762	1	3		6			3				1	2		3				1	2				2	2		3			4			5		2	3	5		1					12						1	2	6	4	2				1	1	1		1		1				4	4	2				2								1		2	1	1	1		1	5	
MIMAT0000097	8	5	6	22	9	19	12				4	7		16	4	19	6		8	1	17		16	12		2	17	7		13	8	8	14	6	10	2	2	8	7	3	2	5	3	13	19	32	26	5	25	19	31	15	27	24	25	15	17	19	10	18	23	10	16	9	24	32	15	21	14	13	21	10	13	35	30	11	20	21	19	26	10	35	32	17	29	12	24	14	24	14
MIMAT0005882	7	16		16	7	7	7				6	8	1	15	7		3		9		6		20	7		5	8		4		12				8	1	1	6		8		8	4	8		16	10	2	23	12	18	21	1	8	9	2	4	8	1	4			1	4	6	21	6	13	5	2	2	13		5	5	22	6	21	7		3	3	9	11	9	4	4	7		2
MIMAT0003180	4	16		1	3	5	2	4			1	1		2	1		6		3		8		5	4					2						1	2	15		5		8	8	5	2	6	2	5				4	4	3		7		5	3		3		1	3				1	7	1			9		3				11		3		9	3	3	4		9	1	2	
MIMAT0004550	1		5	2	1	3			2	1		2	1			4	2				2			2								2			1	1	1							2		2	3		1	1	9		1	1	1	3					4		4	1	8		4		1		2		7	4			4	2	3	5		3		2	1	1	5		7	2
MIMAT0000765	28	35	6	22	30	11	38	19	9		24	18	2	26	22	16	27	3	28		21		30	3		8	15	2	10		7	10	21	9	29	6	13	6		2	5	33	19	26	7	24	31	18	47	34	101	50	23	27	59	18	43	36	15	61	53	5	16	34	43	70	45	84	22	20	27	34	19	61	18	83	23	67	29	27	27	30	29	24	20	65	77	44	37	75
