spikeID	RNA014934	RNA014935	RNA014936	RNA014937	RNA014938	RNA014939	RNA014940	RNA014941	RNA014942	RNA014943	RNA014944	RNA014945	RNA014946	RNA014947	RNA014948	RNA014949	RNA014950	RNA014951	RNA014952	RNA014953	RNA014954	RNA014955	RNA014956	RNA014957	RNA014958	RNA014959	RNA014960	RNA014961	RNA014962	RNA014963	RNA014964	RNA014965	RNA014966	RNA014967	RNA014968	RNA014969	RNA014970	RNA014971	RNA014972	RNA014973	RNA014974	RNA014975	RNA014976	RNA014977	RNA014978	RNA015236	RNA015237	RNA015238	RNA015239	RNA015240	RNA015241	RNA015242	RNA015243	RNA015244	RNA015245	RNA015246	RNA015247	RNA015248	RNA015249	RNA015250	RNA015251	RNA015252	RNA015253	RNA015254	RNA015255	RNA015256	RNA015257	RNA015258	RNA015259	RNA015260	RNA015261	RNA015262	RNA015263	RNA015264	RNA015265	RNA015266	RNA015267	RNA015268	RNA015269	RNA015270	RNA015271	RNA015272	RNA015273	RNA015274	RNA015275	RNA015276	RNA015277	RNA015278	RNA015279	RNA015280
LP1-01	1512	225	4669	322	631	3216	648	6148	3388	5810	385	1651	6899	251	1191	3305	2696	3152	634	5419	266	10247	1828	1279	13092	333	1702	4725	1930	8802	3012	988	5694	94	36	1131	11999	923	4256	1931	4285	610	4460	506	8428	2285	1076	1672	979	125	1454	970	655	1422	770	1069	2318	919	458	1660	3296	601	409	205	1050	1256	671	1389	596	724	1313	561	785	1171	885	1220	1404	559	1475	952	803	1052	700	906	880	78	1998	574	1836	2182
LP1-02	62	9	100		14	81	36	75	83	93	14	12	111	2	53	62	52	92	38	76	9	202	116	51	298	8	65	79	60	159	62	19	215	6		15	77	13	90	40	76	48	133	22	131	39	14	53	39	17	32	56	17	43	32	27	85	33	18	41	65	8	8	17	19	36	25	50	15	7	15	10	13	36	20	61	31	17	24	4	29	34	29	19	17	7	49	42	54	29
LP1-03	209	41	542	21	77	356	117	819	456	725	77	257	1114	32	279	553	369	431	126	845	74	1406	276	202	1865	62	234	788	325	1184	223	163	1050	16	44	152	1541	159	423	358	642	118	716	78	1198	420	165	283	179	88	248	133	117	384	151	169	328	143	84	250	475	101	105	192	191	237	139	203	108	155	187	97	96	186	170	182	213	98	204	156	118	179	154	140	117	56	242	121	266	346
LP1-04	10	8	50	25	12	31	16	64	65	132	8	13	172	6	16	77	26	56	17	102	6	88	14	21	217	3	35	82	44	105	67	15	74	43	5	15	182	26	110	31	72	36	96	10	145	39	22	34	16	8	22	18	7	9	8	11	39	20	4	24	22	7	6	27	31	40	13	31	8	11	17	24	17	11	14	12	10	16	29	6	18	14	18	5	15	3	31	10	20	22
LP1-06	3015	524	8269	1014	1661	6104	1637	11183	6804	10889	889	3523	18265	729	3989	7061	4999	6814	1632	11435	807	21694	4189	3404	27402	986	3856	10815	5379	20844	5712	2373	15258	474	319	2665	25110	2520	8312	4898	9796	1759	10974	1548	19389	5956	2972	4932	3069	1070	3246	2153	1564	4621	2318	3008	6029	2689	1088	3751	7336	1522	1570	2445	2801	3515	2047	3084	1424	2353	3477	1768	1968	3885	2495	3430	3184	1887	3950	3607	2458	2848	2499	2165	2322	599	4832	2373	4412	5206
LP1-07	2096	490	6358	464	1287	4694	1113	8995	5818	8697	679	2565	14360	433	3119	5196	3743	5445	1338	8181	658	17396	2859	2939	22652	828	3050	7504	4636	14966	3998	1737	12559	299	372	2081	19805	1962	7529	4130	8079	1485	9662	1033	14096	3583	1692	2660	1668	905	1916	1351	835	2364	1503	1660	3500	1451	718	1790	3505	947	1077	2008	1846	2343	1342	1993	803	1169	2324	1085	1237	1851	1697	1936	1720	1052	2422	1473	1334	1482	1583	1346	1383	584	3024	1389	2812	3554
LP1-10	263	34	662	28	145	502	133	931	589	915	91	296	1516	30	387	541	401	553	146	880	70	1712	345	356	2297	87	323	857	472	1650	414	208	1263	15	40	276	2048	238	825	382	785	166	1067	116	1459	455	222	333	163	85	178	129	112	269	184	193	321	145	78	267	491	106	111	174	227	243	137	215	97	136	207	121	117	154	221	220	224	114	213	195	143	194	149	122	129	92	360	132	309	399
LP1-11	318	61	671	117	165	524	155	677	690	1161	97	321	1129	57	354	530	522	522	101	669	57	1149	294	214	1338	89	263	613	434	1083	266	138	693	105	26	155	1447	148	446	306	564	110	739	50	965	376	184	342	235	119	329	229	160	289	160	196	525	200	135	401	718	125	85	188	251	253	220	355	140	178	317	158	142	320	207	367	370	171	261	199	266	286	235	262	229	97	515	135	386	495
LP1-12	13	3	63	4	22	31	18	145	33	101	6	16	97	5	57	38	25	79	20	63	7	137	18	33	349	7	30	61	40	142	27	19	108	2	1	27	196	9	100	41	113	30	126	17	102	36	13	26	16	8	12	10	8	16	8	31	31	18	2	23	35	8	18	20	16	22	10	17	6	15	16	14	11	20	18	9	25	13	12	14	16	7	10	8	10	8	41	22	20	23
RC1-01	16	9	3		37	34	35	8	5		19	12	17	10	22	34	25	14	25	6	12	13	24	32	14	5	21	21	20	1	38	10	25	2	24	20	28	10	11	4	6	37		20	9	46	27	37	35	15	28	18	25	41	18	20	84	40	14	20	59	14	15	29	28	39	21	28	13	14	33	14	16	14	27	45	26	21	25	18	17	25	18	26	37	12	73	10	46	64
