"","RNAisolation","Tube","TimeLapse","donorID","duplicates"
"1","miRNeasySPkit","serum","T0","D5",0.9605
"2","miRNeasySPkit","Citrate","T04","D1",0.9679
"3","miRNeasySPkit","serum","T16","D2",0.9625
"4","miRNeasySPkit","EDTA","T04","D1",0.9675
"5","miRNeasySPkit","Citrate","T16","D3",0.9545
"6","miRNeasySPkit","serum","T16","D1",0.9624
"7","miRNeasySPkit","serum","T04","D5",0.9518
"8","miRNeasySPkit","EDTA","T16","D3",0.9463
"9","miRNeasySPkit","Citrate","T0","D3",0.9467
"10","miRNeasySPkit","Citrate","T0","D2",0.956
"11","miRNeasySPkit","Citrate","T0","D1",0.9658
"12","miRNeasySPkit","EDTA","T0","D5",0.9641
"13","miRNeasySPkit","EDTA","T04","D3",0.9607
"14","miRNeasySPkit","Citrate","T04","D2",0.9751
"15","miRNeasySPkit","Citrate","T04","D5",0.9677
"16","miRNeasySPkit","EDTA","T16","D5",0.9542
"17","miRNeasySPkit","EDTA","T04","D5",0.9726
"18","miRNeasySPkit","EDTA","T0","D2",0.9584
"19","miRNeasySPkit","serum","T16","D5",0.9594
"20","miRNeasySPkit","serum","T0","D1",0.955
"21","miRNeasySPkit","serum","T16","D4",0.9485
"22","miRNeasySPkit","serum","T0","D3",0.9449
"23","miRNeasySPkit","serum","T16","D3",0.9587
"24","miRNeasySPkit","EDTA","T0","D1",0.9596
"25","miRNeasySPkit","Citrate","T04","D4",0.9579
"26","miRNeasySPkit","EDTA","T0","D3",0.9482
"27","miRNeasySPkit","serum","T04","D3",0.9569
"28","miRNeasySPkit","Citrate","T16","D5",0.9466
"29","miRNeasySPkit","serum","T04","D4",0.9419
"30","miRNeasySPkit","Citrate","T16","D4",0.9568
"31","miRNeasySPkit","Citrate","T0","D4",0.9466
"32","miRNeasySPkit","serum","T0","D4",0.9594
"33","miRNeasySPkit","serum","T04","D2",0.9503
"34","miRNeasySPkit","serum","T04","D1",0.9612
"35","miRNeasySPkit","Citrate","T04","D3",0.943
"36","miRNeasySPkit","EDTA","T16","D4",0.9317
"37","miRNeasySPkit","EDTA","T04","D4",0.943
"38","miRNeasySPkit","Citrate","T16","D2",0.9453
"39","miRNeasySPkit","EDTA","T04","D2",0.9528
"40","miRNeasySPkit","serum","T0","D2",0.9441
"41","miRNeasySPkit","EDTA","T16","D1",0.9606
"42","miRNeasySPkit","EDTA","T16","D2",0.9646
"43","miRNeasySPkit","Citrate","T16","D1",0.9677
"44","miRNeasySPkit","EDTA","T0","D4",0.9711
"45","miRNeasySPkit","Citrate","T0","D5",0.954
"46","QIAamp","serum","T0","D3",0.8905
"47","QIAamp","serum","T16","D3",0.8819
"48","QIAamp","EDTA","T04","D5",0.8861
"49","QIAamp","Citrate","T16","D1",0.8616
"50","QIAamp","EDTA","T16","D4",0.9017
"51","QIAamp","serum","T16","D2",0.9198
"52","QIAamp","serum","T04","D3",0.9039
"53","QIAamp","Citrate","T04","D5",0.9059
"54","QIAamp","EDTA","T04","D1",0.8991
"55","QIAamp","serum","T04","D2",0.9011
"56","QIAamp","serum","T16","D5",0.9245
"57","QIAamp","EDTA","T16","D2",0.9061
"58","QIAamp","serum","T04","D1",0.9461
"59","QIAamp","EDTA","T0","D2",0.9182
"60","QIAamp","Citrate","T0","D3",0.8825
"61","QIAamp","Citrate","T04","D2",0.9153
"62","QIAamp","serum","T0","D4",0.9125
"63","QIAamp","Citrate","T16","D5",0.8935
"64","QIAamp","serum","T16","D1",0.9264
"65","QIAamp","EDTA","T04","D2",0.9109
"66","QIAamp","EDTA","T0","D1",0.9143
"67","QIAamp","EDTA","T16","D5",0.8875
"68","QIAamp","serum","T04","D5",0.9142
"69","QIAamp","Citrate","T04","D1",0.9108
"70","QIAamp","Citrate","T16","D2",0.8507
"71","QIAamp","serum","T04","D4",0.9224
"72","QIAamp","Citrate","T16","D3",0.8674
"73","QIAamp","EDTA","T0","D4",0.9185
"74","QIAamp","Citrate","T0","D1",0.9149
"75","QIAamp","serum","T0","D1",0.9329
"76","QIAamp","Citrate","T04","D4",0.8688
"77","QIAamp","EDTA","T0","D3",0.8877
"78","QIAamp","EDTA","T16","D3",0.8698
"79","QIAamp","serum","T16","D4",0.9151
"80","QIAamp","EDTA","T04","D3",0.8881
"81","QIAamp","Citrate","T0","D5",0.9042
"82","QIAamp","serum","T0","D5",0.9184
"83","QIAamp","EDTA","T04","D4",0.8603
"84","QIAamp","Citrate","T0","D2",0.8242
"85","QIAamp","EDTA","T0","D5",0.9404
"86","QIAamp","EDTA","T16","D1",0.8367
"87","QIAamp","serum","T0","D2",0.8953
"88","QIAamp","Citrate","T0","D4",0.8814
"89","QIAamp","Citrate","T04","D3",0.8687
"90","QIAamp","Citrate","T16","D4",0.9015
