UniqueID,endogenous,ERCC,Sequin,EndovsSequin,EndovsERCC,Id,Femto_conc,RNA_ID,EVE_ID,PROJECT,RUN_ID,RNAID,Tube,TechnicalReplicate,GraphKit
RNA003585L1,1246052.19964618,12378,4010.99848,310.658856107615,100.666682795781,EVE9,0.1043,RNA003585,EVE9,exRNAQC004,1,RNA003585,EDTA,RNA2,MIR0.2
RNA003586L1,1242002.44294205,12320,2776.00116,447.407033123161,100.811886602439,EVE10,0.1182,RNA003586,EVE10,exRNAQC004,1,RNA003586,EDTA,RNA3,MIR0.2
RNA003588L1,707192.928242785,11472,4325.99977075296,163.475026749642,61.6451297282762,EVE11,0.2,RNA003588,EVE11,exRNAQC004,1,RNA003588,EDTA,RNA2,MIRA0.2
RNA003589L1,908996.259307701,9723,3265.001459,278.406080585982,93.4892789579041,EVE12,0.0567,RNA003589,EVE12,exRNAQC004,1,RNA003589,EDTA,RNA3,MIRA0.2
RNA003591L1,1228632.48779091,7813,5416.998527,226.81056338986,157.254894124013,EVE13,0.1337,RNA003591,EVE13,exRNAQC004,1,RNA003591,EDTA,RNA2,MIRA0.6
RNA003592L1,1332916.7560916,8431,5573.002035727,239.173922339635,158.097112571652,EVE14,0.123,RNA003592,EVE14,exRNAQC004,1,RNA003592,EDTA,RNA3,MIRA0.6
RNA003594L1,1234973.49136103,4648,3935.998762,313.763688973699,265.699976626728,EVE15,0.1872,RNA003594,EVE15,exRNAQC004,1,RNA003594,EDTA,RNA2,CCF1
RNA003595L1,1111382.40573995,4634,4417.00095,251.6147083328,239.832198044875,EVE16,0.1744,RNA003595,EVE16,exRNAQC004,1,RNA003595,EDTA,RNA3,CCF1
RNA003597L1,3923271.62497396,7584,20909.016372,187.635398775992,517.309022280321,EVE17,0.3753,RNA003597,EVE17,exRNAQC004,1,RNA003597,EDTA,RNA2,CCF4
RNA003598L1,3040983.08002475,4171,14599.00671,208.300683767872,729.077698399605,EVE18,0.4624,RNA003598,EVE18,exRNAQC004,1,RNA003598,EDTA,RNA3,CCF4
RNA003600L1,438393.79172441,80416,857.9997,510.948653856651,5.45157421065969,EVE19,0.0065,RNA003600,EVE19,exRNAQC004,1,RNA003600,EDTA,RNA2,MIRV0.1
RNA003601L1,469125.701873117,26641,845.999425779,554.522482614151,17.6091626392822,EVE20,0.0568,RNA003601,EVE20,exRNAQC004,1,RNA003601,EDTA,RNA3,MIRV0.1
RNA003603L1,941779.761681198,41167,1987.00052,473.970566289131,22.8770559351228,EVE21,0.0204,RNA003603,EVE21,exRNAQC004,1,RNA003603,EDTA,RNA2,MIRV0.625
RNA003604L1,701864.778054834,22103,1350.00023,519.899747020661,31.7542767070006,EVE22,0.2,RNA003604,EVE22,exRNAQC004,1,RNA003604,EDTA,RNA3,MIRV0.625
RNA003606L1,472694.916642706,32011,4788.00153,98.7248883863046,14.7666401125459,EVE23,0.0508,RNA003606,EVE23,exRNAQC004,1,RNA003606,EDTA,RNA2,NUC0.3
RNA003607L1,495258.04449505,14997,3642.000000258,135.985185189447,33.0238077278823,EVE24,0.059,RNA003607,EVE24,exRNAQC004,1,RNA003607,EDTA,RNA3,NUC0.3
RNA003609L1,922100.592863224,12477,7895.9990238,116.780737951441,73.9040308458142,EVE25,0.0979,RNA003609,EVE25,exRNAQC004,1,RNA003609,EDTA,RNA2,NUC0.9
RNA003610L1,586546.016137205,5792,4700.99882050309,124.770509105219,101.268303891092,EVE26,0.1191,RNA003610,EVE26,exRNAQC004,1,RNA003610,EDTA,RNA3,NUC0.9
RNA003612L1,385133.736775285,23144,1143.99974,336.65544082666,16.6407594527862,EVE27,0.0144,RNA003612,EVE27,exRNAQC004,1,RNA003612,EDTA,RNA2,CIRC0.25
RNA003613L1,308780.047035803,41619,1031.00017,299.495631543691,7.41920870361621,EVE28,0.0154,RNA003613,EVE28,exRNAQC004,1,RNA003613,EDTA,RNA3,CIRC0.25
RNA003615L1,1290548.45247795,6178,1892.99974,681.747823419115,208.894213738742,EVE29,0.092,RNA003615,EVE29,exRNAQC004,1,RNA003615,EDTA,RNA2,CIRC5
RNA003616L1,1642071.6659032,15082,2383.00011,689.07746122731,108.876254203899,EVE30,0.0917,RNA003616,EVE30,exRNAQC004,1,RNA003616,EDTA,RNA3,CIRC5
RNA003618L1,550773.048575414,12507,1449.99991,379.843505352641,44.0371830635176,EVE31,0.1039,RNA003618,EVE31,exRNAQC004,1,RNA003618,EDTA,RNA2,MAP2
RNA003619L1,858294.236612104,10065,1305.0,657.696733036095,85.2751352818782,EVE32,0.1815,RNA003619,EVE32,exRNAQC004,1,RNA003619,EDTA,RNA3,MAP2
RNA003621L1,1953808.53372766,3687,4763.00029,410.205419854732,529.918235347887,EVE33,0.2,RNA003621,EVE33,exRNAQC004,1,RNA003621,EDTA,RNA2,MAP4
RNA003622L1,1805011.2427695,3797,4344.0004587,415.518198013653,475.378257247697,EVE1,0.2232,RNA003622,EVE1,exRNAQC004,2,RNA003622,EDTA,RNA3,MAP4
RNA003624L1,673958.32579494,18200,2401.000332,280.698972346056,37.0306772414802,EVE2,0.0172,RNA003624,EVE2,exRNAQC004,2,RNA003624,EDTA,RNA2,MAX0.1
RNA003625L1,633889.725632981,11927,1850.00043,342.643015295397,53.1474575025557,EVE3,0.0035,RNA003625,EVE3,exRNAQC004,2,RNA003625,EDTA,RNA3,MAX0.1
RNA003627L1,964518.514478713,9886,2010.99981,479.621385184871,97.5640819824715,EVE4,0.059,RNA003627,EVE4,exRNAQC004,2,RNA003627,EDTA,RNA2,MAX0.5
RNA003628L1,903328.25555073,5087,2303.99956,392.069630234968,177.575831639617,EVE5,0.0601,RNA003628,EVE5,exRNAQC004,2,RNA003628,EDTA,RNA3,MAX0.5
