UniqueID,LP,miRNA,RC,smallRNA,miRNAvsRC,miRNAvsLP,smallRNAvsRC,smallRNAvsLP,Id,Femto_conc,RNA_ID,EVE_ID,PROJECT,RUN_ID,RNAID,Tube,TechnicalReplicate,GraphKit
RNA004060L1,20827,82865,12290,834793,6.74247355573637,3.97872953377827,67.9245728234337,40.0822490036971,EVE6,0.1697,RNA004060,EVE6,exRNAQC011,2,RNA004060,EDTA,RNA1,MIR0.2
RNA004061L1,7193,34040,7005,1132826,4.85938615274804,4.73237870151536,161.716773733048,157.490059780342,EVE7,0.1792,RNA004061,EVE7,exRNAQC011,2,RNA004061,EDTA,RNA2,MIR0.2
RNA004062L1,23098,89213,14377,1136938,6.20525839883147,3.8623690362802,79.0803366488141,49.2223569140185,EVE8,0.1689,RNA004062,EVE8,exRNAQC011,2,RNA004062,EDTA,RNA3,MIR0.2
RNA004063L1,25072,109552,14484,540912,7.56365644849489,4.36949585194639,37.3454846727423,21.5743458838545,EVE9,0.1924,RNA004063,EVE9,exRNAQC011,2,RNA004063,EDTA,RNA1,MIRA0.2
RNA004064L1,11808,64539,11338,897192,5.69227376962427,5.4657012195122,79.1314164755689,75.9817073170732,EVE10,0.2358,RNA004064,EVE10,exRNAQC011,2,RNA004064,EDTA,RNA2,MIRA0.2
RNA004065L1,29283,146645,20330,867701,7.21323167732415,5.00785438650411,42.6808165272996,29.6315609739439,EVE11,0.2,RNA004065,EVE11,exRNAQC011,2,RNA004065,EDTA,RNA3,MIRA0.2
RNA004066L1,23644,223911,32152,1048202,6.9641390893257,9.47009812214515,32.6014555859667,44.3326848249027,EVE12,0.3374,RNA004066,EVE12,exRNAQC011,2,RNA004066,EDTA,RNA1,MIRA0.6
RNA004067L1,5861,61532,11005,1060540,5.59127669241254,10.49854973554,96.3689232167197,180.948643576182,EVE13,0.4022,RNA004067,EVE13,exRNAQC011,2,RNA004067,EDTA,RNA2,MIRA0.6
RNA004068L1,14852,187978,26007,1123464,7.22797708309301,12.656746566119,43.1985234744492,75.6439536762726,EVE14,0.4193,RNA004068,EVE14,exRNAQC011,2,RNA004068,EDTA,RNA3,MIRA0.6
RNA004069L1,12555,158739,24373,1127001,6.51290362286136,12.6434886499403,46.239732490871,89.7651135005974,EVE15,0.51,RNA004069,EVE15,exRNAQC011,2,RNA004069,EDTA,RNA1,CCF1
RNA004070L1,3901,57719,10369,1256901,5.56649628700935,14.7959497564727,121.217185842415,322.199692386568,EVE16,0.4962,RNA004070,EVE16,exRNAQC011,2,RNA004070,EDTA,RNA2,CCF1
RNA004071L1,11383,151688,20242,1205618,7.49372591641142,13.3258367741369,59.5602213220038,105.913906702978,EVE17,0.5398,RNA004071,EVE17,exRNAQC011,2,RNA004071,EDTA,RNA3,CCF1
RNA004072L1,22284,211173,17601,892198,11.9977842168059,9.47644049542273,50.6901880574967,40.03760545683,EVE18,0.8787,RNA004072,EVE18,exRNAQC011,2,RNA004072,EDTA,RNA1,CCF4
RNA004073L1,4263,65824,9409,1257498,6.99585503241577,15.4407694112128,133.648421723881,294.979591836735,EVE19,1.122,RNA004073,EVE19,exRNAQC011,2,RNA004073,EDTA,RNA2,CCF4
RNA004074L1,10139,165903,17779,1166573,9.33140221609764,16.3628562974652,65.615220203611,115.057993884999,EVE20,1.5621,RNA004074,EVE20,exRNAQC011,2,RNA004074,EDTA,RNA3,CCF4
RNA004075L1,352106,150709,23992,826304,6.28163554518173,0.428021675290964,34.4408136045348,2.34674785433932,EVE21,0.0355,RNA004075,EVE21,exRNAQC011,2,RNA004075,EDTA,RNA1,MIRV0.1
RNA004076L1,116327,63753,16745,1201489,3.80728575694237,0.548049893833762,71.7521051060018,10.3285479725257,EVE22,0.2,RNA004076,EVE22,exRNAQC011,2,RNA004076,EDTA,RNA2,MIRV0.1
RNA004077L1,328260,138678,22559,901176,6.14734695686866,0.422463900566624,39.9475154040516,2.74531164320965,EVE23,0.0228,RNA004077,EVE23,exRNAQC011,2,RNA004077,EDTA,RNA3,MIRV0.1
RNA004078L1,102305,145035,20467,1167177,7.08628523965408,1.41767264552075,57.0272633996189,11.4087972239871,EVE24,0.0342,RNA004078,EVE24,exRNAQC011,2,RNA004078,EDTA,RNA1,MIRV0.625
RNA004079L1,33594,51279,10208,1338598,5.02341300940439,1.52643329165922,131.132249216301,39.8463416086206,EVE25,0.0401,RNA004079,EVE25,exRNAQC011,2,RNA004079,EDTA,RNA2,MIRV0.625
RNA004080L1,76800,128516,16916,1233668,7.59730432726413,1.67338541666667,72.9290612437929,16.0633854166667,EVE26,0.0424,RNA004080,EVE26,exRNAQC011,2,RNA004080,EDTA,RNA3,MIRV0.625
RNA004081L1,819637,39363,6818,212112,5.77339395717219,0.0480249183480004,31.1105896157231,0.258787731642178,EVE27,0.0304,RNA004081,EVE27,exRNAQC011,2,RNA004081,EDTA,RNA1,MIRVE0.1
RNA004082L1,428294,37222,8633,604482,4.31159504227962,0.0869075915142402,70.0199235491718,1.41137162790046,EVE28,0.0281,RNA004082,EVE28,exRNAQC011,2,RNA004082,EDTA,RNA2,MIRVE0.1
RNA004083L1,912059,40652,6655,249208,6.10848985725019,0.0445716779287305,37.4467317806161,0.27323670946726,EVE29,0.024,RNA004083,EVE29,exRNAQC011,2,RNA004083,EDTA,RNA3,MIRVE0.1
RNA004084L1,394960,100295,15133,796193,6.62756888918258,0.253937107555195,52.6130311240336,2.01588262102491,EVE30,0.0296,RNA004084,EVE30,exRNAQC011,2,RNA004084,EDTA,RNA1,MIRVE0.625
RNA004085L1,176717,42191,8091,1094591,5.21455938697318,0.238748960201905,135.285008033618,6.19403339803188,EVE31,0.0323,RNA004085,EVE31,exRNAQC011,2,RNA004085,EDTA,RNA2,MIRVE0.625
RNA004086L1,358168,87295,12252,831748,7.12495919033627,0.243726407719283,67.88671237349,2.32222867481182,EVE32,0.031,RNA004086,EVE32,exRNAQC011,2,RNA004086,EDTA,RNA3,MIRVE0.625
RNA004087L1,25039,80564,10605,785162,7.5967939651108,3.21754063660689,74.0369636963696,31.3575622029634,EVE33,0.2,RNA004087,EVE33,exRNAQC011,2,RNA004087,EDTA,RNA1,NUC0.3
RNA004088L1,9650,45751,8999,968893,5.08400933437049,4.74103626943005,107.666740748972,100.403419689119,EVE34,0.1417,RNA004088,EVE34,exRNAQC011,2,RNA004088,EDTA,RNA2,NUC0.3
RNA004089L1,21884,99545,14997,951781,6.63766086550643,4.54875708280022,63.4647596185904,43.4920946810455,EVE35,0.143,RNA004089,EVE35,exRNAQC011,2,RNA004089,EDTA,RNA3,NUC0.3
RNA004090L1,13159,114407,14558,1015605,7.85870311856024,8.69420168705829,69.7626734441544,77.1794969222585,EVE36,0.3468,RNA004090,EVE36,exRNAQC011,2,RNA004090,EDTA,RNA1,NUC0.9
RNA004091L1,3880,41226,7500,1228977,5.4968,10.6252577319588,163.8636,316.746649484536,EVE37,0.3968,RNA004091,EVE37,exRNAQC011,2,RNA004091,EDTA,RNA2,NUC0.9
RNA004092L1,8150,134988,16587,1180275,8.1381805028034,16.5629447852761,71.1566286851149,144.819018404908,EVE38,0.3479,RNA004092,EVE38,exRNAQC011,2,RNA004092,EDTA,RNA3,NUC0.9
RNA004093L1,105266,171205,26965,915781,6.34915631374003,1.62640358710315,33.9618394214723,8.69968460851557,EVE39,0.0412,RNA004093,EVE39,exRNAQC011,2,RNA004093,EDTA,RNA1,CIRC0.25
RNA004094L1,34824,58948,14005,1112598,4.20906818993217,1.69274063864002,79.4429132452696,31.9491729841489,EVE40,0.0587,RNA004094,EVE40,exRNAQC011,2,RNA004094,EDTA,RNA2,CIRC0.25
