end	Gene	start	(bp)	Strand	Gene
ENSG00000276678	10287413	10287482	3	1	misc_RNA
ENSG00000252319	8720034	8720132	18	-1	misc_RNA
ENSG00000201912	145057108	145057437	X	1	misc_RNA
ENSG00000274122	28387160	28387417	CHR_HSCHR15_1_CTG8	1	misc_RNA
ENSG00000200162	153607377	153607479	3	1	misc_RNA
ENSG00000276764	18958147	18958413	5	-1	misc_RNA
ENSG00000277950	20070716	20070965	22	1	misc_RNA
ENSG00000201965	38125292	38125394	3	-1	misc_RNA
ENSG00000200121	175176493	175176586	2	-1	misc_RNA
ENSG00000202217	74799895	74800222	9	1	misc_RNA
ENSG00000244748	72314397	72314688	5	-1	misc_RNA
ENSG00000239822	430239	430504	10	-1	misc_RNA
ENSG00000274046	7092616	7092716	21	1	misc_RNA
ENSG00000252076	58869184	58869528	10	1	misc_RNA
ENSG00000243015	93509487	93509768	12	1	misc_RNA
ENSG00000201216	102950467	102950564	8	-1	misc_RNA
ENSG00000277845	143542110	143542398	CHR_HSCHR8_3_CTG7	1	misc_RNA
ENSG00000201489	7537096	7537196	17	-1	misc_RNA
ENSG00000277994	53965965	53966061	12	1	misc_RNA
ENSG00000222950	25779287	25779569	12	-1	misc_RNA
ENSG00000244677	68149617	68149908	14	-1	misc_RNA
ENSG00000277922	74293357	74293574	X	1	misc_RNA
ENSG00000222154	53490148	53490439	7	-1	misc_RNA
ENSG00000277752	50075570	50075653	13	1	misc_RNA
ENSG00000241821	56688401	56688695	20	1	misc_RNA
ENSG00000265889	36285312	36285413	17	1	misc_RNA
ENSG00000273541	50104833	50105174	13	1	misc_RNA
ENSG00000202515	140726158	140726246	5	1	misc_RNA
ENSG00000278237	76712763	76712861	5	1	misc_RNA
ENSG00000244307	144785298	144785588	8	1	misc_RNA
ENSG00000276800	21463963	21464279	22	1	misc_RNA
ENSG00000222616	22861552	22861884	2	1	misc_RNA
ENSG00000222783	130811768	130812095	3	-1	misc_RNA
ENSG00000242769	114697627	114697924	1	-1	misc_RNA
ENSG00000206662	17710934	17711046	12	1	misc_RNA
ENSG00000202351	13547704	13548013	6	1	misc_RNA
ENSG00000207494	124814958	124815062	10	-1	misc_RNA
ENSG00000206806	40351564	40351672	11	1	misc_RNA
ENSG00000207265	52259076	52259187	19	-1	misc_RNA
ENSG00000277967	49280485	49280571	20	1	misc_RNA
ENSG00000277081	97564174	97564327	12	1	misc_RNA
ENSG00000200884	96962656	96962757	5	-1	misc_RNA
ENSG00000275915	11847442	11847549	1	1	misc_RNA
ENSG00000275808	59004213	59004494	16	1	misc_RNA
ENSG00000207231	185415973	185416086	4	-1	misc_RNA
ENSG00000274709	97013925	97014066	7	-1	misc_RNA
ENSG00000242651	9830330	9830627	18	-1	misc_RNA
ENSG00000201511	101647421	101647522	3	1	misc_RNA
ENSG00000273818	30091662	30091898	15	1	misc_RNA
ENSG00000199832	107202577	107202683	X	1	misc_RNA
ENSG00000263955	4633591	4633881	16	-1	misc_RNA
ENSG00000278250	120018900	120019261	12	1	misc_RNA
ENSG00000266439	10221775	10222073	16	-1	misc_RNA
ENSG00000263912	30743271	30743522	CHR_HSCHR6_MHC_SSTO_CTG1	1	misc_RNA
ENSG00000274284	38231043	38231144	17	-1	misc_RNA
ENSG00000276222	46226740	46226841	CHR_HSCHR17_2_CTG5	-1	misc_RNA
ENSG00000206911	93827622	93827734	11	1	misc_RNA
ENSG00000278124	22010650	22010946	1	1	misc_RNA
ENSG00000243900	51469753	51470047	13	1	misc_RNA
ENSG00000276918	66374138	66374435	11	-1	misc_RNA
ENSG00000277653	22117665	22117814	9	1	misc_RNA
ENSG00000272075	118067237	118067539	11	1	misc_RNA
ENSG00000277542	48723692	48723772	17	1	misc_RNA
ENSG00000244512	184278936	184279233	4	1	misc_RNA
ENSG00000203573	40585454	40585751	15	-1	misc_RNA
ENSG00000222210	57977965	57978277	12	-1	misc_RNA
ENSG00000274401	30051409	30051512	CHR_HSCHR6_MHC_DBB_CTG1	1	misc_RNA
ENSG00000207380	5964538	5964650	20	1	misc_RNA
ENSG00000201287	37661747	37662049	9	-1	misc_RNA
ENSG00000274655	73821657	73821724	X	-1	misc_RNA
ENSG00000202542	48325558	48325671	15	-1	misc_RNA
ENSG00000223305	55540502	55540835	4	-1	misc_RNA
ENSG00000200737	97421195	97421307	10	-1	misc_RNA
ENSG00000276640	30136615	30136690	CHR_HSCHR6_MHC_MCF_CTG1	1	misc_RNA
ENSG00000241552	18547312	18547605	5	1	misc_RNA
ENSG00000243125	223248498	223248794	2	-1	misc_RNA
ENSG00000278469	3124777	3125063	12	1	misc_RNA
ENSG00000206925	40342329	40342441	19	1	misc_RNA
ENSG00000201078	37055033	37055347	22	-1	misc_RNA
ENSG00000274860	6521131	6521412	17	1	misc_RNA
ENSG00000266263	30908902	30909204	CHR_HSCHR6_MHC_MANN_CTG1	1	misc_RNA
ENSG00000277605	47476822	47477152	X	-1	misc_RNA
ENSG00000201201	67321658	67321987	16	-1	misc_RNA
ENSG00000201377	70396279	70396375	X	1	misc_RNA
ENSG00000251814	117299364	117299638	6	1	misc_RNA
ENSG00000244404	25020166	25020463	3	-1	misc_RNA
ENSG00000202385	89020246	89020365	1	-1	misc_RNA
ENSG00000264615	2228961	2229241	9	-1	misc_RNA
ENSG00000206721	120210320	120210421	3	1	misc_RNA
ENSG00000242865	53090961	53091257	6	1	misc_RNA
ENSG00000242121	182314284	182314544	2	1	misc_RNA
ENSG00000238585	55501595	55501708	4	-1	misc_RNA
ENSG00000199290	29750371	29750472	6	1	misc_RNA
ENSG00000200572	134142228	134142340	X	-1	misc_RNA
ENSG00000239794	91829774	91830066	1	-1	misc_RNA
ENSG00000199640	49330210	49330547	8	1	misc_RNA
ENSG00000202469	10061222	10061323	X	1	misc_RNA
ENSG00000207408	53324562	53324674	X	1	misc_RNA
ENSG00000200895	131820334	131820653	6	1	misc_RNA
ENSG00000223056	25963983	25964273	22	-1	misc_RNA
ENSG00000200635	55582733	55582834	X	1	misc_RNA
